ID;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
898;plum;30;2;62;3;22;75;65;5;9;0;0;576;0;0;77;36;0;21;3;33;38;63;0;2;47;4;56;1;46;16;106;1036;0;921
899;american grapes;2;87;29;82;74;4;4;35;90;0;56;2;0;60;49;0;25;45;50;61;32;0;27;52;3;94;99;1;100;2;46;30;91;93
900;peach;59;4;34;1;1;143;126;14;23;0;0;1333;0;0;35;4;0;60;12;2;75;99;0;11;42;9;1;4;135;30;30;285;69;18643
901;honeydew melon;64;2;55;49;1;161;144;1;14;0;62;159;0;92;52;0;66;7;3;2;319;0;43;83;106;7;3;177;3;195;4036;99;2;615
902;yellow plantain fried;399;127;31;39;38;689;368;24;54;0;79;829;0;1;0;0;61;14;1;5;0;0;19;50;101;2;1;761;5;727;8568;77;4;1005
903;rose hips;206;4;0;0;0;485;33;2;306;0;35;745;0;48;85;0;2;17;1;78;541;0;74;50;2146;1;13;876;13;775;5448;0;3;8384
904;lemons;17;2;63;46;31;54;15;6;16;0;45;516;0;85;23;0;66;56;1;85;307;0;75;0;151;90;3;46;36;93;80;44;65;539
905;lime;20;1;87;2;95;71;11;5;19;0;82;591;0;67;70;0;34;1;1;55;195;0;1;85;221;52;4;4;13;121;683;76;11;516
906;pomegranate;117;16;2;1;1;264;193;24;56;0;42;1099;0;0;8;59;0;4;4;5;1;144;0;8;66;141;2;4;169;2;508;3328;90;3633
907;gooseberries;66;9;1;60;5;153;0;13;65;0;74;1318;0;0;68;84;0;7;5;4;1;416;0;6;0;375;1;5;15;2;405;297;97;242
908;asian pear;51;3;9;91;91;13;86;6;44;0;0;1077;0;100;71;0;73;3;50;79;46;0;1;59;49;67;0;98;10;134;1476;15;41;278
909;abiyuch;157;2;65;0;0;401;195;34;121;0;93;1822;0;0;0;0;0;0;0;0;1233;0;0;0;182;1;37;547;4;1072;6931;0;7;2010
910;horned melon kiwano;92;26;0;0;0;158;0;37;0;0;95;1859;0;42;40;0;16;12;4;1;111;0;0;0;272;43;24;836;43;773;2571;0;1;628
911;fruit walnut salad mcdonalds;312;133;18;21;85;438;329;48;0;53;17;2005;0;100;61;41;1;3;4;3;3836;0;0;0;1716;3;9;343;0;1294;0;0;7;6180
912;grapefruit;53;2;92;48;6;133;86;1;2;0;0;1101;0;0;51;10;0;32;3;3;27;39;0;2;0;275;87;1;113;67;225;1688;32;16592
913;japanese persimmon;118;3;89;77;86;312;211;1;6;0;67;1349;0;0;63;18;0;27;2;0;2;126;0;12;66;134;2;3;151;6;286;2705;24;38927
914;wild raspberries;81;4;0;0;0;18;72;15;98;0;90;1098;0;91;23;0;1;13;4;1;343;0;7;71;468;1;8;338;5;533;2275;0;6;1116
915;pink lady apple;18;1;0;0;0;39;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
916;maraschino cherries;8;83;60;15;33;21;19;60;2;0;72;29;0;0;0;0;0;60;88;17;0;0;69;68;27;89;91;2;63;2;11;18;31;519
