Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
170;170;peanuts raw;828;719;10;357;227;235;58;377;124;0;38;95;0;9;4;0;2;176;26;5;0;0;122;0;1343;17;67;2453;28;549;102930;32;48;2865
171;171;poppy seeds;46;37;4;5;25;25;3;16;17;0;79;5;0;34;44;0;40;69;71;90;61;0;2;0;1265;1;9;305;6;766;633;59;7;136934
172;172;valencia peanuts raw;832;695;107;313;241;305;0;366;127;0;94;62;0;9;4;0;4;188;26;5;0;0;0;0;905;17;31;2686;29;4906;4847;56;49;2429
173;173;spanish peanuts;832;724;112;326;251;231;0;382;139;0;36;93;0;1;4;0;2;233;26;5;0;0;0;0;1548;13;57;2745;39;5665;108620;77;31;3081
174;174;dill seeds;20;1;18;6;41;36;0;11;14;0;37;5;0;11;85;0;59;2;0;1;14;0;0;0;1001;9;11;169;1;183;783;75;3;1097
175;175;caraway seeds;22;1;30;5;2;33;38;13;25;0;14;7;0;96;52;0;75;2;0;99;14;0;2;0;462;77;11;173;34;381;905;62;4;568
176;176;acorn raw;110;68;9;43;13;115;0;17;0;0;0;79;0;16;60;0;45;5;2;1;0;0;0;0;116;2;2;175;4;224;1525;0;1;318
177;177;almonds roasted;182;166;13;104;41;53;14;64;32;0;29;8;0;55;32;0;2;11;49;65;0;0;78;0;873;3;11;822;7;1398;2097;17;9;1199
178;178;lotus seeds raw;25;1;97;11;2;49;0;12;0;0;20;218;0;73;52;0;70;1;88;74;0;0;0;0;125;79;3;158;2;475;1039;0;43;190
179;179;chestnuts cooked;37;4;16;1;2;79;0;6;0;0;46;193;0;95;99;0;53;2;46;21;76;0;0;0;13;1;5;153;2;28;2023;0;20;300
180;180;alfalfa seeds;1;75;29;67;57;2;58;1;15;0;48;28;0;65;8;0;78;20;51;21;2;0;36;42;1;48;34;8;24;21;24;76;71;1435
181;181;virginia peanuts roasted;173;146;19;76;44;6;0;78;27;0;18;7;0;66;61;0;22;44;4;99;0;0;0;0;258;4;5;564;6;1518;1956;6;2;574
182;182;hazelnuts raw;471;456;33;342;59;125;33;112;73;0;0;4;0;5;34;0;22;14;7;4;47;0;113;97;855;13;35;1223;46;2175;510;12;18;1703
183;183;anise seeds;7;3;60;2;66;11;0;4;3;0;100;2;0;58;2;0;91;90;58;10;4;0;0;0;136;24;8;36;31;92;303;50;1;169
184;184;macadamia nuts roasted;215;228;36;178;4;4;12;23;24;0;64;5;0;2;2;0;86;7;2;1;2;0;2;0;21;2;8;354;9;594;1089;85;4;535
185;185;studentenfutter alnatura;139;78;9;48;2;132;117;31;31;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24152
186;186;pumpkin squash seeds roasted;46;39;7;13;16;12;1;24;5;0;45;2;0;46;41;0;46;4;20;12;1;0;49;2;42;1;6;44;4;939;63;50;6;129
187;187;water chestnut raw;120;1;39;55;89;297;6;17;37;0;97;911;0;2;11;0;2;12;6;4;5;0;15;58;136;4;34;273;4;781;7242;4;6;5384
188;188;chestnuts roasted;37;3;9;1;1;79;16;5;8;0;43;61;0;80;96;0;11;2;46;75;39;0;80;8;44;75;1;5;2;161;888;37;86;179
189;189;ginkgo nuts raw;52;5;29;2;2;106;0;12;0;0;67;156;0;13;85;0;40;17;78;98;42;0;0;0;6;29;3;76;27;351;1443;0;79;174
190;190;almonds raw;9;7;40;5;2;3;26;3;2;0;43;26;0;79;73;0;66;52;68;29;0;0;4;0;4;7;82;4;7;73;106;13;61;5554
191;191;peanuts roasted;180;158;26;78;46;46;13;84;28;0;69;4;0;57;51;0;20;41;4;1;2;0;21;0;183;2;5;528;6;1191;2178;66;1;506
