Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
255;255;microwave popcorn;465;263;127;92;36;498;3;73;87;0;6;8;7;72;73;34;0;73;14;2;3;0;0;25;52;20;2;18;957;7;2393;3419;4;93352
256;256;millet cooked;207;17;3;3;9;412;2;61;23;0;46;1243;0;2;88;0;1;23;3;2;0;0;19;21;52;3;11;766;5;174;1079;94;16;576
257;257;kamut raw;627;41;4;4;11;1309;152;273;169;0;12;204;35;0;11;0;0;3;118;17;5;0;0;11;43;446;1;82;2492;53;718;8296;1;180788
258;258;wheat durum;651;47;9;7;19;1366;0;263;0;0;32;21;0;8;54;0;2;129;18;8;0;0;0;0;653;11;68;2765;58;9754;8275;2;8;2397
259;259;sorghum;651;63;9;19;26;1433;0;217;121;0;45;177;0;5;0;0;3;56;0;0;0;0;0;0;538;0;84;0;0;551;672;0;0;2456
260;260;white wheat;657;33;5;4;14;1457;8;217;234;0;94;184;0;7;58;0;2;84;18;7;0;0;19;89;614;7;88;1786;73;6816;8294;0;64;2643
261;261;rye;571;28;3;4;13;1282;17;175;255;0;78;179;0;5;36;0;4;72;25;5;0;0;14;92;406;6;44;1859;44;5611;8619;32;45;2190
262;262;spelt raw;588;42;7;8;22;1221;119;254;186;0;76;192;0;6;56;0;2;119;19;4;0;0;14;37;47;9;77;2366;52;6977;6751;51;57;2250
263;263;buckwheat raw;41;4;7;1;1;86;0;16;12;0;54;12;0;54;30;0;15;8;1;5;0;0;0;0;22;1;3;277;2;416;552;94;3;143
264;264;honey cereali general mills;104;2;212;3;188;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
265;265;barley cooked;193;7;1;39;3;443;4;35;6;0;64;108;0;1;8;0;37;32;2;2;0;0;98;57;173;2;21;345;4;848;146;73;13;739
266;266;oats;39;7;1;2;3;66;0;17;11;0;74;8;0;10;85;0;26;16;1;32;0;0;0;0;54;6;5;177;5;523;429;0;4;160
267;267;amaranth raw;37;7;1;2;3;65;2;14;7;0;77;11;0;84;65;0;4;73;1;24;4;0;1;0;159;48;8;248;3;557;508;50;3;264
268;268;semolina;601;18;3;2;7;1216;0;212;65;0;97;212;0;14;3;0;1;10;1;2;0;0;4;0;284;3;73;785;1;2271;3106;1;18;1868
269;269;quinoa dry;221;36;4;1;2;385;0;85;42;0;26;8;0;2;1;0;2;9;5;3;0;0;15;0;282;4;27;1182;12;2742;3378;56;19;857
270;270;wheat shredded;155;1;2;2;6;362;4;52;55;0;86;28;0;1;2;0;10;24;1;5;46;0;0;41;23;2;14;612;12;1702;173;60;14;769
